Customer_ID,Age,Annual_Income,Credit_Limit,Bill_Amount,Payment_Amount,Total_Transactions,Late_Payments,Credit_Utilization,Months_With_Bank,Employment_Type,Education_Level,Marital_Status,Card_Type,Region,Default
CUST100001,59,18000.0,7318.0,926.0,646.0,23,4,12.65,81,Salaried,Bachelor,Married,Standard,West,0
CUST100002,49,72516.0,35197.0,23709.0,5725.0,17,1,67.36,33,Business,Diploma,Married,Gold,South,0
CUST100003,35,82648.0,47413.0,28598.0,16713.0,29,2,60.32,119,Salaried,Doctorate,Married,Standard,Central,0
CUST100004,63,81187.0,12565.0,6984.0,317.0,30,1,55.58,113,Business,Master,Single,Standard,West,0
CUST100005,28,128261.0,45077.0,30552.0,20266.0,25,2,67.78,35,Salaried,Master,Married,Gold,East,0
CUST100006,41,36064.0,21769.0,5082.0,3959.0,15,1,23.35,58,Salaried,High School,Married,Gold,West,0
CUST100007,59,94491.0,49150.0,15478.0,2246.0,17,2,31.49,91,Unemployed,Diploma,Married,Standard,North,0
CUST100008,39,125244.0,52780.0,33920.0,19993.0,20,3,64.27,20,Salaried,Bachelor,Single,Standard,South,0
CUST100009,43,24439.0,10138.0,1724.0,1011.0,28,1,17.01,94,Salaried,Master,Divorced,Gold,West,0
CUST100010,31,77494.0,25099.0,7142.0,3306.0,13,4,28.46,35,Self-Employed,Bachelor,Single,Platinum,Central,0
CUST100011,31,49259.0,20209.0,6942.0,3126.0,13,2,34.35,135,Unemployed,Diploma,Married,Standard,West,0
CUST100012,44,62150.0,29689.0,11422.0,3645.0,18,1,38.47,33,Self-Employed,Bachelor,Married,Signature,West,0
CUST100013,56,78697.0,28267.0,17031.0,2589.0,35,1,60.25,50,Student,Bachelor,Married,Standard,East,0
CUST100014,60,49720.0,25212.0,8911.0,5132.0,27,1,35.34,57,,Master,Married,Standard,North,1
CUST100015,44,44824.0,26026.0,15237.0,7645.0,26,2,58.55,58,Salaried,,Married,Standard,North,0
CUST100016,23,66232.0,15057.0,9366.0,4487.0,19,3,62.2,128,Self-Employed,Diploma,Single,Gold,Central,0
CUST100017,42,35745.0,13432.0,2313.0,1413.0,28,1,17.22,116,Salaried,Diploma,Married,Gold,South,0
CUST100018,22,35773.0,12664.0,4995.0,782.0,22,2,39.44,27,Salaried,Master,Single,Gold,South,0
CUST100019,44,94447.0,46632.0,9863.0,8355.0,26,2,21.15,23,Salaried,Diploma,Married,Platinum,West,0
CUST100020,64,34555.0,9500.0,5732.0,4711.0,21,0,60.34,18,Salaried,Diploma,Single,Platinum,West,0
CUST100021,50,93771.0,44084.0,7956.0,1534.0,24,2,18.05,78,Salaried,Bachelor,Single,Platinum,South,0
CUST100022,58,83832.0,49356.0,14875.0,5612.0,13,4,30.14,73,Salaried,Bachelor,Married,Gold,North,0
CUST100023,22,25158.0,9033.0,5565.0,,24,1,61.61,36,Salaried,Master,Single,Standard,East,0
CUST100024,41,44778.0,27113.0,13181.0,7780.0,20,2,48.62,56,Salaried,High School,Married,Standard,West,0
CUST100025,53,125355.0,81052.0,29459.0,20019.0,22,5,36.35,52,Salaried,,Single,Standard,Central,0
CUST100026,32,37892.0,7694.0,4034.0,1887.0,21,1,52.43,62,Unemployed,Bachelor,Single,Platinum,West,0
CUST100027,42,50348.0,13419.0,3278.0,1415.0,16,1,24.43,42,Self-Employed,Bachelor,Married,Gold,West,0
CUST100028,64,83807.0,52395.0,15109.0,7280.0,27,1,28.84,38,Salaried,High School,Single,Standard,North,0
CUST100029,45,100008.0,62921.0,14972.0,4710.0,20,3,23.79,41,Self-Employed,High School,Married,Gold,South,0
CUST100030,69,56602.0,11256.0,5403.0,2357.0,17,0,48.0,135,Self-Employed,Bachelor,Single,Standard,West,0
CUST100031,47,46794.0,7370.0,1846.0,1226.0,22,1,25.05,85,Salaried,High School,Married,Gold,East,0
CUST100032,62,142123.0,32766.0,21642.0,5366.0,22,2,66.05,20,Self-Employed,Bachelor,Single,Gold,East,0
CUST100033,48,169149.0,109610.0,95591.0,46354.0,16,0,87.21,40,Student,Bachelor,Single,Standard,West,0
CUST100034,36,111359.0,26726.0,6697.0,2883.0,20,3,25.06,108,Self-Employed,Bachelor,Married,Standard,West,0
CUST100035,35,68123.0,27336.0,10508.0,7511.0,33,3,38.44,65,Student,Diploma,Married,Standard,South,0
CUST100036,67,41672.0,23928.0,12103.0,2502.0,18,0,50.58,94,,Bachelor,Single,Gold,Central,0
CUST100037,64,41167.0,6595.0,3210.0,2447.0,15,2,48.67,67,Business,Bachelor,Divorced,Platinum,South,0
CUST100038,23,86641.0,39183.0,14156.0,8937.0,21,4,36.13,52,Self-Employed,High School,Married,Gold,South,0
CUST100039,57,81819.0,23606.0,10181.0,5167.0,17,0,43.13,118,Self-Employed,Master,Married,Gold,West,0
