Transaction_ID,Customer_Age,Annual_Income,Transaction_Amount,Transactions_Last_30_Days,Distance_From_Home_Km,Online_Transaction,Device_Type,Merchant_Category,International_Transaction,Previous_Fraud_Count,Account_Age_Months,Fraud
TXN00001,31,51518.0,11.3,8,52.8,Yes,Desktop,Fuel,No,0,38,0
TXN00002,18,64307.0,78.97,20,1.1,Yes,Tablet,Healthcare,No,0,67,0
TXN00003,33,35259.0,59.99,23,2.2,No,Mobile,Clothing,No,0,21,0
TXN00004,48,51475.0,158.65,13,7.8,Yes,Mobile,Travel,No,0,102,0
TXN00005,44,50287.0,1662.49,14,24.1,Yes,Mobile,Travel,No,0,75,0
TXN00006,43,59770.0,209.27,9,5.3,No,Mobile,Dining,No,1,50,0
TXN00007,35,63884.0,1070.91,16,17.6,No,Mobile,Healthcare,No,0,47,0
TXN00008,24,70757.0,189.14,17,13.5,No,Mobile,Grocery,No,0,69,0
TXN00009,44,61208.0,72.5,26,12.2,Yes,Mobile,Clothing,No,0,55,0
TXN00010,29,31897.0,158.51,8,22.4,Yes,Desktop,Travel,No,0,30,0
TXN00011,62,36054.0,498.7,11,0.2,Yes,Mobile,Clothing,No,0,68,0
TXN00012,44,43011.0,518.6,9,31.8,Yes,Mobile,Dining,No,0,37,1
TXN00013,32,48440.0,75.73,10,21.2,Yes,Mobile,Healthcare,No,1,56,0
TXN00014,31,88251.0,146.94,10,33.3,No,Desktop,Electronics,No,0,60,0
TXN00015,37,32590.0,38.25,14,18.9,No,Desktop,Grocery,No,0,78,0
TXN00016,35,46829.0,232.11,12,25.3,Yes,Desktop,Clothing,No,2,74,0
TXN00017,50,84452.0,415.79,17,2.7,Yes,Tablet,Fuel,No,0,56,0
TXN00018,40,48057.0,123.88,16,4.6,No,Desktop,Grocery,No,0,73,0
TXN00019,30,67662.0,70.36,11,4.5,Yes,Mobile,Electronics,Yes,0,79,0
TXN00020,59,51653.0,160.07,10,1.4,No,Mobile,Healthcare,No,0,108,0
TXN00021,39,61737.0,167.58,11,15.7,No,Tablet,Healthcare,Yes,0,49,0
TXN00022,46,49626.0,128.05,14,1.8,No,Desktop,Travel,No,0,73,0
TXN00023,31,74256.0,138.44,9,0.6,No,Desktop,Travel,No,0,52,0
TXN00024,42,27442.0,104.42,12,17.9,Yes,Desktop,Clothing,No,0,47,0
TXN00025,41,46705.0,266.2,8,28.2,No,Mobile,Dining,No,0,33,0
TXN00026,18,62853.0,216.26,14,17.3,Yes,Desktop,Travel,No,0,45,0
TXN00027,60,69930.0,54.65,16,20.9,Yes,Mobile,Travel,No,0,79,0
TXN00028,52,107680.0,53.46,12,10.9,Yes,Mobile,Grocery,No,0,50,0
TXN00029,34,46126.0,97.9,9,26.2,Yes,Mobile,Electronics,No,0,69,0
