Customer_ID,Age,Gender,Contract_Type,Education_Level,Satisfaction_Level,Is_Member,Payment_Method,City,Product_Category,Customer_Segment,Referral_Source,Monthly_Charges,Tenure_Months,Support_Calls,Churn
CUST00001,56,Female,Monthly,Bachelor,Medium,No,UPI,Bangalore,Clothing,Basic,Facebook,3434.35,50,2,No
CUST00002,46,Female,Monthly,Bachelor,Low,Yes,UPI,Gurgaon,Sports,Basic,Facebook,9119.32,64,2,Yes
CUST00003,32,Male,Quarterly,Master,Medium,Yes,Bank Transfer,Coimbatore,Clothing,Standard,Google,5754.83,40,5,No
CUST00004,60,Female,Monthly,Bachelor,High,No,UPI,Trichy,Home Appliances,Standard,Friend,7981.03,33,4,Yes
CUST00005,25,Male,Quarterly,PhD,High,No,UPI,Hyderabad,Grocery,Basic,Advertisement,9280.26,29,4,No
CUST00006,38,Female,Yearly,High School,Low,Yes,Bank Transfer,Hyderabad,Electronics,Basic,Website,2049.78,33,5,No
CUST00007,56,Male,Monthly,High School,Medium,Yes,Cash,Chennai,Home Appliances,Standard,Email,4564.81,17,6,No
CUST00008,36,Female,Monthly,Bachelor,High,Yes,Credit Card,Mumbai,Sports,Basic,Email,4615.5,65,2,No
CUST00009,40,Female,Monthly,Master,High,No,UPI,Coimbatore,Grocery,Premium,Google,3867.49,43,3,No
CUST00010,28,Male,Monthly,Master,Medium,No,UPI,Delhi,Sports,Basic,Google,584.61,63,1,No
CUST00011,28,Male,Quarterly,High School,Medium,Yes,Cash,Chennai,Grocery,Basic,Email,8251.74,58,3,Yes
CUST00012,41,Female,Monthly,High School,Medium,Yes,Credit Card,Madurai,Grocery,Basic,Google,1559.81,43,0,No
CUST00013,53,Male,Quarterly,Master,Low,Yes,UPI,Delhi,Books,Standard,Advertisement,9957.07,37,3,No
CUST00014,57,Male,Monthly,High School,High,Yes,UPI,Madurai,Home Appliances,Basic,Website,7843.11,46,1,No
CUST00015,41,Male,Monthly,High School,Low,No,Credit Card,Madurai,Electronics,Basic,Website,6010.1,25,1,Yes
CUST00016,20,Male,Monthly,High School,Medium,Yes,UPI,Chennai,Home Appliances,Basic,Facebook,1968.76,67,4,No
CUST00017,39,Female,Monthly,High School,Medium,No,UPI,Coimbatore,Sports,Basic,Email,5396.23,51,6,No
