Transaction_ID,Customer_Age,Annual_Income,Purchase_Amount,Transaction_Count,Discount_Percentage,Customer_Tenure_Months,Delivery_Distance_Km,Product_Rating,Customer_Support_Calls,Monthly_Spend,Returns_Count
TXN00001,41,31376.6,2430.8,3,5.67,56,17.08,3.86,2,4574.18,3
TXN00002,35,53895.71,1629.36,6,4.79,61,7.17,3.08,2,3735.58,1
TXN00003,42,55647.89,2159.27,3,59.3,1,18.04,3.88,9,2840.82,1
TXN00004,51,74779.43,4589.69,6,20.05,51,26.12,3.6,3,1232.47,1
TXN00005,34,22620.92,7407.32,8,31.43,58,3.45,3.61,3,4888.35,0
TXN00006,34,80842.43,4060.09,3,19.35,27,3.27,2.7,1,12184.06,0
TXN00007,52,9482.79,2725.78,7,15.46,20,6.8,3.64,3,3942.89,1
TXN00008,44,36521.76,8931.65,15,15.17,4,0.63,5.0,1,2833.17,2
TXN00009,31,40043.05,1916.27,7,8.4,8,13.89,4.12,5,2587.23,2
TXN00010,41,83012.87,6004.88,6,15.58,20,16.62,3.58,5,4956.04,2
TXN00011,31,55815.03,1957.05,3,5.25,60,5.09,4.18,0,7834.5,0
TXN00012,31,22058.92,3606.22,2,18.29,49,7.51,4.79,1,5081.64,0
TXN00013,38,28993.96,2269.96,5,12.54,21,10.71,3.3,1,945.54,1
TXN00014,18,62581.84,2384.09,6,2.52,46,0.92,4.98,2,11851.15,1
TXN00015,19,52244.75,1813.96,6,4.55,44,14.91,3.05,2,6271.71,1
TXN00016,30,37746.87,7841.39,4,40.1,26,8.98,3.53,3,3085.42,2
TXN00017,26,40237.17,1340.85,1,7.8,7,11.75,3.47,2,2414.62,2
TXN00018,39,86473.88,1332.55,6,19.55,13,15.44,4.65,3,2560.09,3
TXN00019,27,39284.62,15167.2,8,5.32,5,13.51,3.03,3,6402.03,0
TXN00020,22,51939.2,5740.01,2,15.15,1,1.2,4.54,2,878.04,0
TXN00021,51,225380.92,329.21,2,14.17,3,18.31,3.67,2,5014.62,1
TXN00022,34,21800.64,1546.23,2,10.19,43,11.3,3.9,2,4259.47,0
TXN00023,37,16504.54,535.85,5,7.58,1,15.06,4.63,5,4218.06,1
TXN00024,22,91529.97,1114.27,7,12.62,15,3.64,4.14,4,1550.86,0
TXN00025,31,35382.42,173.52,7,12.42,128,3.0,4.69,0,1061.75,1
TXN00026,37,44722.59,2225.21,9,16.41,48,20.99,4.53,3,16841.29,2
TXN00027,24,33101.6,947.09,4,19.21,42,5.94,5.0,4,3841.32,0
TXN00028,40,46454.02,2630.6,7,14.37,10,10.28,4.61,2,13570.96,2
TXN00029,30,155459.14,628.1,5,14.61,31,9.62,3.89,2,6587.04,1
TXN00030,33,92639.6,2682.54,7,26.58,21,10.56,3.84,3,3786.54,1
TXN00031,30,96329.87,1757.01,7,29.95,29,0.86,5.0,3,4116.86,3
TXN00032,55,21906.55,8961.62,3,35.72,17,4.32,4.03,5,7455.84,2
TXN00033,36,26025.67,8297.42,5,17.48,23,0.83,4.17,1,8066.48,0
TXN00034,25,8687.91,4873.61,5,24.04,134,7.85,4.65,0,4883.97,2
TXN00035,44,32499.86,1893.96,5,17.58,12,27.89,3.59,5,7521.03,0
