Employee_ID,Age,Monthly_Income,Years_At_Company,Job_Level,Years_In_Current_Role,Job_Satisfaction,Work_Hours_Per_Week,Projects_Completed,Training_Hours,Overtime,Department,Job_Role,Education_Level,Marital_Status,Attrition
EMP100001,58,51055.0,4,2,3,1.0,43,4,44.0,No,Research & Development,Software Engineer,Bachelor,Married,1
EMP100002,48,98990.0,2,2,2,4.0,37,6,51.0,No,Research & Development,Project Manager,Bachelor,Single,0
EMP100003,34,52789.0,4,2,1,2.0,41,4,31.0,No,Human Resources,Financial Analyst,Master,Married,0
EMP100004,27,20072.0,3,2,3,3.0,43,3,14.0,No,IT,Software Engineer,High School,Single,0
EMP100005,40,43951.0,8,2,1,1.0,41,3,20.0,No,Research & Development,Software Engineer,Master,Divorced,0
EMP100006,58,85974.0,1,3,1,3.0,49,10,53.0,No,Finance,Financial Analyst,Bachelor,Single,0
EMP100007,38,70313.0,7,2,7,2.0,42,7,38.0,No,Research & Development,Software Engineer,Diploma,Single,0
EMP100008,42,37690.0,10,4,1,3.0,37,4,14.0,No,Human Resources,Research Scientist,High School,Divorced,0
EMP100009,30,42647.0,2,2,2,4.0,44,7,45.0,No,Research & Development,Sales Executive,High School,Married,0
EMP100010,30,45719.0,6,1,5,3.0,30,7,12.0,No,Human Resources,Software Engineer,Bachelor,Single,0
EMP100011,43,40818.0,5,4,0,5.0,52,4,42.0,No,Research & Development,Sales Executive,Bachelor,Divorced,0
EMP100012,55,22065.0,2,2,2,2.0,33,5,31.0,Yes,Research & Development,Software Engineer,Diploma,Married,1
EMP100013,59,77552.0,2,1,2,5.0,46,7,45.0,No,Research & Development,Project Manager,Bachelor,Married,0
EMP100014,43,96835.0,6,3,1,3.0,46,8,31.0,No,IT,Sales Executive,Bachelor,Single,0
EMP100015,22,27772.0,13,2,12,5.0,36,4,46.0,No,Human Resources,Research Scientist,Diploma,Single,0
EMP100016,41,96261.0,9,4,3,1.0,45,1,12.0,No,Research & Development,Software Engineer,Diploma,Married,0
EMP100017,21,52508.0,6,2,2,3.0,39,5,40.0,No,Human Resources,Software Engineer,Bachelor,Married,0
EMP100018,43,95454.0,6,3,1,5.0,41,5,28.0,Yes,Finance,Financial Analyst,,Single,0
EMP100019,49,55947.0,5,1,1,4.0,44,10,41.0,No,Research & Development,Research Scientist,Master,Single,0
EMP100020,57,58459.0,4,2,4,3.0,42,5,30.0,No,Sales,HR Specialist,Bachelor,Married,0
EMP100021,21,65035.0,6,5,3,1.0,37,4,22.0,Yes,Research & Development,Project Manager,Diploma,Married,0
EMP100022,40,38544.0,2,3,2,4.0,44,8,33.0,Yes,Sales,HR Specialist,Bachelor,Divorced,0
EMP100023,52,94154.0,7,1,2,3.0,41,3,54.0,No,Research & Development,Software Engineer,Doctorate,Married,0
EMP100024,31,33205.0,4,2,4,4.0,41,3,26.0,No,Human Resources,Software Engineer,Master,Divorced,0
EMP100025,41,45897.0,4,2,2,3.0,42,7,38.0,No,Sales,HR Specialist,Master,Married,0
EMP100026,44,69634.0,11,3,1,3.0,35,11,25.0,No,Sales,HR Specialist,Master,Married,0
EMP100027,46,43737.0,1,3,1,2.0,36,4,6.0,No,IT,Software Engineer,Master,Single,0
EMP100028,47,78040.0,6,3,1,5.0,39,3,36.0,No,IT,Financial Analyst,High School,Single,0
EMP100029,35,102153.0,10,2,0,3.0,44,8,93.0,No,Research & Development,Research Scientist,Bachelor,Divorced,0
EMP100030,34,86746.0,6,3,6,1.0,37,2,15.0,No,Research & Development,Project Manager,Master,Divorced,0
EMP100031,22,23014.0,5,2,1,5.0,48,8,49.0,No,Sales,Project Manager,High School,Married,0
EMP100032,56,58205.0,4,1,4,2.0,43,7,,No,Research & Development,Financial Analyst,Master,Single,0
EMP100033,26,87378.0,7,2,7,5.0,44,4,34.0,Yes,Finance,Sales Executive,Diploma,Divorced,0
EMP100034,40,30411.0,6,5,3,5.0,40,4,14.0,No,IT,Software Engineer,High School,Married,0
EMP100035,28,76169.0,3,3,3,3.0,34,3,41.0,Yes,Research & Development,Research Scientist,Diploma,Single,0
EMP100036,58,74269.0,4,2,0,1.0,45,8,27.0,No,Research & Development,Research Scientist,Bachelor,Single,0
EMP100037,37,31877.0,6,3,1,3.0,38,3,26.0,Yes,Human Resources,Financial Analyst,Bachelor,Single,0
EMP100038,23,80057.0,2,4,2,1.0,35,5,18.0,Yes,Human Resources,Project Manager,High School,Married,0
EMP100039,44,62181.0,3,2,2,1.0,38,5,5.0,No,,Financial Analyst,Master,Married,0
EMP100040,33,73700.0,10,2,1,4.0,42,3,31.0,Yes,Human Resources,Software Engineer,Diploma,Single,0
EMP100041,28,35605.0,3,5,3,3.0,30,7,24.0,No,Research & Development,Research Scientist,Bachelor,Single,0
EMP100042,45,58844.0,2,4,2,2.0,40,4,29.0,Yes,Sales,Software Engineer,Bachelor,Divorced,0
EMP100043,21,25537.0,6,2,2,5.0,47,5,30.0,No,Research & Development,Financial Analyst,Master,Married,0
EMP100044,39,19741.0,10,2,4,4.0,42,4,22.0,Yes,Sales,Project Manager,Master,Married,0
