Customer_ID,Household_Size,House_Area_sqft,Monthly_Income,Monthly_Electricity_Usage_kWh,Peak_Usage_kWh,Average_Temperature_C,AC_Usage_Hours,Appliance_Count,Monthly_Electricity_Bill,Solar_Panel,City
HSE00001,7,1608,80836.18,887.6,302.8,34.2,6.1,6,6787.25,No,Chennai
HSE00002,4,1103,31005.08,689.8,222.6,21.8,55.3,9,4413.54,No,Mumbai
HSE00003,5,1563,31524.79,869.0,410.8,30.1,48.8,4,6621.3,No,Coimbatore
HSE00004,7,1293,45017.93,840.5,248.9,22.3,53.8,4,6539.53,No,Madurai
HSE00005,3,1117,39934.72,788.5,240.2,37.7,44.8,3,6036.16,No,Madurai
HSE00006,5,483,68152.86,697.4,358.2,31.1,49.4,7,4655.73,No,Delhi
HSE00007,5,563,56202.18,580.7,268.1,30.5,17.4,8,3770.94,Yes,Bangalore
HSE00008,7,400,92901.61,727.4,372.9,21.5,32.8,15,5868.24,No,Mumbai
HSE00009,2,947,63440.29,844.0,246.3,27.0,78.0,8,7124.44,Yes,Mumbai
HSE00010,3,2225,41152.04,703.2,260.0,27.0,31.1,4,5742.87,No,Bangalore
HSE00011,7,620,23484.14,1211.5,405.8,36.1,54.6,14,7559.37,No,Chennai
HSE00012,3,400,59625.8,774.9,196.0,31.9,51.5,14,5090.23,No,Chennai
HSE00013,3,1633,25474.69,750.7,251.8,22.4,73.4,9,5967.54,No,Chennai
HSE00014,5,2264,40923.45,1058.7,385.2,30.9,79.6,8,9095.08,No,Delhi
HSE00015,4,1334,39747.87,859.3,238.6,23.0,92.4,10,7313.08,No,Madurai
HSE00016,3,1330,43752.16,773.5,324.8,22.5,108.3,8,6645.09,No,Bangalore
HSE00017,6,1061,30420.53,766.1,279.6,30.8,26.3,11,4842.61,No,Coimbatore
HSE00018,5,400,39684.42,742.7,196.0,32.0,10.5,12,6280.92,Yes,Coimbatore
HSE00019,2,547,92110.62,591.0,272.6,30.8,38.3,4,5097.83,Yes,Bangalore
HSE00020,4,1057,91996.45,972.5,455.9,36.5,25.0,9,6183.42,Yes,Chennai
HSE00021,6,971,109613.23,736.5,368.5,30.5,28.7,7,5306.52,No,Bangalore
HSE00022,6,1148,55251.7,798.1,315.8,29.7,65.8,3,6362.88,No,Chennai
HSE00023,2,1573,62139.5,667.0,360.6,24.1,89.3,5,4331.36,Yes,Delhi
HSE00024,4,938,92722.24,848.0,444.5,32.4,55.5,6,6261.88,Yes,Mumbai
HSE00025,5,1582,28375.77,867.3,360.3,22.4,32.0,14,7346.28,No,Madurai
HSE00026,1,941,79033.04,613.1,235.1,37.1,57.2,4,5230.17,No,Delhi
HSE00027,4,1667,98828.73,911.1,228.6,32.5,74.9,9,8035.91,No,Chennai
HSE00028,2,1239,36866.42,723.4,335.2,40.2,17.5,3,5152.4,No,Pune
HSE00029,6,1004,102464.95,799.3,335.3,30.6,40.0,5,5797.71,No,Chennai
HSE00030,5,1231,138837.67,1008.3,535.7,32.7,42.2,14,8165.51,Yes,Mumbai
HSE00031,4,1068,78051.13,709.0,303.6,27.9,44.1,11,4876.66,No,Coimbatore
HSE00032,1,1251,71870.09,522.4,286.2,28.8,27.4,13,3106.32,No,Coimbatore
HSE00033,1,1541,33229.36,503.3,254.7,24.8,58.0,4,4208.96,Yes,Hyderabad
HSE00034,3,1161,88985.64,697.3,373.8,23.2,61.2,7,4575.49,No,Coimbatore
HSE00035,3,1034,34668.01,749.7,261.1,29.8,25.9,6,4551.72,No,Bangalore
HSE00036,7,694,64956.42,1082.3,319.1,28.8,101.6,14,6756.63,No,Bangalore
HSE00037,2,1461,67987.64,659.6,322.6,24.7,21.7,5,6123.71,No,Pune
HSE00038,4,1357,12478.65,712.8,346.3,25.4,31.2,7,4895.02,No,Bangalore
HSE00039,4,668,66019.14,513.1,160.8,29.1,20.3,8,3737.59,No,Hyderabad
HSE00040,7,1576,178930.39,705.0,338.0,24.6,18.1,3,6150.22,No,Pune
HSE00041,6,661,21455.86,809.8,343.8,30.4,52.2,4,6158.52,No,Chennai
HSE00042,6,1663,53682.22,530.6,150.1,24.8,31.2,3,3512.74,No,Pune
HSE00043,7,1510,22899.87,1042.0,417.4,30.0,79.9,5,7769.19,No,Kochi
HSE00044,6,1389,36780.56,858.1,454.2,24.4,27.6,10,5539.53,No,Salem
HSE00045,3,1030,23079.24,638.0,256.4,24.4,31.4,10,3900.73,Yes,Hyderabad
