Application_ID,Application_Date,Age,Annual_Income,Employment_Years,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Loans,Debt_to_Income,Employment_Type,Education_Level,Loan_Purpose,Approval_Status,Approval_Decision_Date,Post_Approval_Review,Final_Loan_Status
APP100001,2023-01-01 00:00:00.000000000,59,736192.0,10,672.0,609239.0,36,3,0.287,Salaried,High School,Vehicle,0,2023-01-04 00:00:00.000000000,Rejected_Review,Closed
APP100002,2023-01-01 10:42:27.249083027,49,903644.0,4,704.0,656329.0,12,0,0.253,Self-Employed,Master,Education,0,2023-01-05 10:42:27.249083027,Rejected_Review,Rejected
APP100003,2023-01-01 21:24:54.498166055,35,394505.0,13,785.0,687034.0,24,4,0.443,Salaried,Master,Education,0,2023-01-05 21:24:54.498166055,Rejected_Review,Rejected
APP100004,2023-01-02 08:07:21.747249083,63,445435.0,8,850.0,664802.0,60,1,0.249,Salaried,High School,Personal,0,2023-01-05 08:07:21.747249083,Rejected_Review,Rejected
APP100005,2023-01-02 18:49:48.996332110,28,690458.0,6,589.0,924645.0,60,1,0.28,Salaried,Bachelor,Home,0,2023-01-09 18:49:48.996332110,Standard_Review,Rejected
APP100006,2023-01-03 05:32:16.245415138,41,683842.0,11,782.0,558406.0,24,3,0.131,Salaried,Diploma,Business,0,2023-01-06 05:32:16.245415138,Rejected_Review,Rejected
APP100007,2023-01-03 16:14:43.494498166,59,312996.0,3,688.0,840304.0,24,3,0.47,Self-Employed,Master,Home,0,2023-01-07 16:14:43.494498166,Standard_Review,Rejected
APP100008,2023-01-04 02:57:10.743581193,39,699017.0,12,637.0,825509.0,48,0,0.291,Salaried,High School,Home,0,2023-01-08 02:57:10.743581193,Rejected_Review,Rejected
APP100009,2023-01-04 13:39:37.992664221,43,496561.0,11,714.0,807639.0,36,2,0.388,Business,High School,Education,0,2023-01-08 13:39:37.992664221,Rejected_Review,Rejected
APP100010,2023-01-05 00:22:05.241747249,31,1360277.0,9,605.0,911416.0,48,3,0.195,Contract,High School,Personal,0,2023-01-06 00:22:05.241747249,Rejected_Review,Rejected
APP100011,2023-01-05 11:04:32.490830276,31,727135.0,4,609.0,806030.0,24,0,0.264,Salaried,High School,Home,0,2023-01-10 11:04:32.490830276,Rejected_Review,Rejected
APP100012,2023-01-05 21:46:59.739913304,44,785747.0,10,577.0,669308.0,60,1,0.296,Business,Bachelor,Medical,0,2023-01-10 21:46:59.739913304,Rejected_Review,Rejected
APP100013,2023-01-06 08:29:26.988996332,56,794954.0,13,725.0,371150.0,48,2,0.221,Salaried,Master,Personal,0,2023-01-10 08:29:26.988996332,Rejected_Review,Rejected
