Student_ID,Age,Study_Hours,Attendance_Percentage,Assignment_Score,Midterm_Score,Final_Score,Projects_Completed,Sleep_Hours,Screen_Time_Hours,Study_Expenses,Travel_Distance_Km
STU0001,22,1.8,80.0,78.4,63.7,69.1,0,6.2,5.3,4502.87,20.1
STU0002,19,4.5,66.9,55.8,87.5,69.6,6,7.5,4.1,1189.08,20.9
STU0003,23,4.2,92.7,57.4,43.2,81.5,6,6.8,9.3,2363.64,14.5
STU0004,20,7.8,81.1,60.9,60.2,40.0,2,8.7,2.0,1491.57,11.4
STU0005,22,3.3,82.8,87.0,75.1,42.8,0,9.8,4.9,4643.13,10.7
STU0006,18,14.0,98.0,85.1,86.7,99.0,5,7.5,5.6,18000.0,4.3
STU0007,22,4.7,91.1,20.2,67.8,84.7,4,6.8,3.3,1263.19,41.9
STU0008,23,4.2,86.5,70.8,55.5,58.9,4,9.1,4.1,4961.52,5.3
STU0009,20,8.5,82.0,74.2,64.6,69.3,6,6.7,5.1,684.43,9.1
STU0010,19,3.0,81.9,57.6,62.1,72.2,6,6.3,2.7,3920.42,4.6
STU0011,23,4.7,84.4,66.1,62.9,75.4,0,8.6,5.8,3111.97,1.9
STU0012,23,6.2,86.1,92.0,61.0,96.6,2,8.1,8.2,12883.07,29.5
STU0013,18,7.4,99.1,78.1,61.0,81.8,0,6.3,4.2,3816.1,2.5
STU0014,21,4.7,100.0,64.5,40.5,87.0,2,7.4,6.5,3461.43,19.4
STU0015,20,1.3,84.9,69.2,72.8,67.8,5,6.6,8.4,1437.3,18.7
STU0016,17,5.2,60.5,68.6,78.8,95.0,1,7.8,7.0,2167.7,7.3
STU0017,23,8.5,72.5,76.2,92.0,71.2,1,7.7,3.5,2964.43,18.0
STU0018,21,6.1,100.0,50.6,81.8,36.8,2,5.3,1.9,6300.59,5.8
STU0019,17,6.0,89.2,62.0,80.9,100.0,6,7.1,4.4,1516.47,12.2
STU0020,20,3.2,86.3,87.5,72.7,70.8,3,5.1,5.1,756.83,23.7
STU0021,16,2.9,80.3,70.9,39.8,79.0,1,5.2,0.9,2620.29,42.8
STU0022,21,5.5,70.1,59.3,72.5,51.8,4,6.4,5.1,887.44,11.2
STU0023,24,2.4,98.8,59.9,69.8,100.0,0,6.2,3.3,4231.08,26.0
STU0024,16,7.2,73.8,82.8,84.5,56.5,5,4.8,4.8,6698.98,8.6
STU0025,18,3.6,89.3,64.2,77.1,63.5,3,5.5,4.4,4885.83,3.1
STU0026,22,13.5,100.0,79.7,65.9,100.0,6,5.0,4.6,1802.19,16.0
STU0027,19,1.4,79.8,62.6,99.3,76.2,4,6.0,6.5,7167.48,12.9
STU0028,24,4.6,91.9,55.1,81.6,65.2,0,7.7,3.0,1517.65,10.5
STU0029,18,2.9,79.5,75.7,73.4,43.8,4,8.9,1.3,1319.92,24.3
STU0030,20,0.5,78.3,70.5,75.3,68.9,3,8.4,6.7,6331.38,27.9
STU0031,18,6.7,82.1,82.3,69.0,71.6,2,7.6,6.3,1984.18,20.2
STU0032,22,9.1,68.6,85.3,68.3,65.8,0,7.5,6.1,2772.32,40.7
STU0033,20,8.0,66.8,66.6,33.3,39.0,4,6.9,3.2,4834.59,15.5
STU0034,24,7.0,89.1,77.2,53.4,74.9,5,6.9,6.2,1223.4,1.2
STU0035,22,4.6,77.8,66.2,59.3,48.5,6,8.8,2.4,1766.43,5.2
STU0036,17,7.3,89.1,81.5,75.2,85.1,5,7.8,4.4,1706.25,4.4
STU0037,19,8.2,93.2,75.5,41.6,60.6,4,7.3,8.0,2148.55,20.2
STU0038,24,5.8,94.0,62.6,59.7,85.8,6,4.7,6.2,1575.38,6.8
STU0039,17,2.9,65.8,61.4,57.6,70.2,3,7.9,4.9,3183.65,4.8
STU0040,24,4.4,75.0,76.0,69.9,71.1,3,8.0,4.7,3157.6,35.1
STU0041,20,9.2,87.4,89.4,75.2,91.7,6,6.2,2.8,2501.99,12.1
STU0042,17,5.3,87.5,85.5,57.7,56.1,5,7.3,8.2,2900.97,12.8
STU0043,19,0.5,100.0,57.9,58.8,51.4,5,6.8,7.0,1633.54,19.4
STU0044,22,2.3,72.9,59.4,57.1,79.4,6,6.3,6.6,2534.6,24.9
STU0045,23,4.6,93.7,61.6,61.8,47.7,3,7.5,4.8,836.08,20.8
STU0046,18,7.8,85.7,63.1,67.2,56.4,2,5.6,4.3,4757.83,30.7
STU0047,16,4.9,65.6,44.8,89.0,43.2,1,9.7,3.5,1736.23,18.7
STU0048,19,7.8,76.5,83.9,51.8,89.6,4,7.7,7.9,1785.29,17.1
STU0049,17,4.3,84.6,65.2,96.0,53.0,2,6.9,1.4,1361.75,24.5
STU0050,23,1.2,65.0,78.9,48.3,58.9,4,8.2,6.1,2738.25,19.7
STU0051,19,4.4,61.3,67.3,83.3,48.1,5,8.0,1.8,1767.06,12.5
STU0052,17,6.3,64.4,71.7,60.4,63.4,2,6.0,4.6,3764.17,17.8
STU0053,21,6.1,84.6,61.7,53.4,67.6,5,6.3,5.0,1263.49,5.3
STU0054,21,2.7,77.2,71.6,89.1,84.0,6,4.0,2.4,2734.91,10.4
STU0055,19,4.7,75.8,58.9,69.3,47.5,6,5.6,3.3,3296.79,8.0
STU0056,21,11.4,76.1,71.7,68.7,59.8,5,7.9,6.5,25000.0,85.0
STU0057,17,2.8,67.8,93.9,63.6,94.2,5,7.2,8.0,3856.14,45.7
STU0058,17,7.0,77.4,79.8,58.7,87.7,0,6.4,5.6,1386.46,6.8
STU0059,19,0.9,63.8,76.4,65.2,58.5,1,7.5,3.6,2612.93,20.1
STU0060,23,7.4,93.9,52.2,16.4,69.2,5,6.3,3.1,2336.37,23.6
STU0061,22,3.5,98.9,80.5,38.3,100.0,4,5.1,3.5,1265.27,51.2
STU0062,24,6.4,58.7,82.0,74.3,49.7,3,5.8,5.0,2457.1,6.8
STU0063,23,2.7,77.3,76.0,86.9,37.3,1,10.0,5.5,1010.21,5.8
STU0064,20,6.1,78.0,75.2,89.8,60.9,4,6.8,7.5,2913.04,10.9
STU0065,17,3.5,80.3,69.9,52.7,68.6,0,6.9,4.9,5474.85,12.4
STU0066,20,3.9,92.0,81.7,71.1,56.4,5,7.7,3.7,4784.93,43.8
STU0067,23,6.5,77.3,93.0,32.9,86.6,4,8.3,2.7,3224.15,34.7
STU0068,24,4.6,81.1,77.0,62.4,73.6,4,6.7,4.6,2957.44,14.6
STU0069,24,6.3,100.0,57.4,81.2,59.7,4,8.4,1.7,2320.29,20.6
STU0070,16,5.1,80.9,58.6,67.7,60.8,1,6.7,3.8,10181.52,15.5
STU0071,24,5.6,99.7,82.9,62.7,57.3,5,7.0,2.5,2175.36,44.6
STU0072,22,6.5,87.0,57.5,67.8,84.1,4,6.4,4.5,1062.31,6.8
STU0073,24,4.7,76.5,75.0,88.5,62.0,3,8.0,5.9,4105.07,17.6
STU0074,23,3.3,74.8,66.8,64.1,49.7,5,5.2,5.8,3373.53,5.7
STU0075,16,4.3,81.9,55.9,69.2,86.4,2,7.3,6.4,1219.71,24.5
STU0076,23,8.1,70.7,84.5,92.3,65.3,3,7.8,3.2,1931.44,10.4
STU0077,23,5.8,73.4,82.6,64.3,46.9,0,8.3,7.8,2790.39,14.0
STU0078,18,3.6,77.8,51.7,41.8,99.1,6,7.7,6.3,1732.02,10.8
STU0079,16,6.4,84.9,79.2,89.9,80.4,1,5.8,6.3,4538.87,11.3
STU0080,23,6.5,100.0,77.0,84.2,70.8,2,7.8,7.3,1507.71,9.2
STU0081,18,6.6,77.2,84.6,32.5,66.4,1,8.0,5.4,2123.12,41.0
STU0082,18,3.3,86.6,74.5,65.9,65.2,1,7.8,4.8,1901.22,18.5
STU0083,16,4.0,65.7,93.4,67.6,64.9,4,6.7,7.7,3350.69,15.7
STU0084,20,4.0,92.6,70.1,89.9,65.3,3,6.8,3.3,3771.69,9.6
STU0085,22,4.7,64.8,67.9,67.8,60.0,2,8.3,4.6,3347.38,19.7
STU0086,24,6.7,90.0,57.4,70.7,68.2,4,7.0,15.0,752.68,9.5
STU0087,22,6.2,81.2,58.0,71.2,59.6,2,5.8,4.6,2779.69,2.9
STU0088,24,6.3,80.8,56.6,60.5,73.8,5,6.5,3.8,3409.34,32.9
STU0089,23,8.5,79.0,75.3,88.8,69.6,5,8.9,3.1,3673.85,14.4
STU0090,17,7.0,69.0,68.0,55.3,58.1,3,5.3,5.5,2227.62,1.9
STU0091,16,5.2,69.5,77.0,60.2,68.5,4,8.7,4.1,2538.61,4.9
STU0092,22,2.9,90.4,53.9,67.9,79.2,2,7.0,6.0,1727.49,4.7
STU0093,22,3.9,82.1,59.2,46.6,31.6,6,5.3,8.3,5737.18,24.1
STU0094,23,4.9,78.9,58.9,96.2,79.8,5,8.0,7.1,1045.33,38.6
STU0095,20,7.3,86.4,100.0,68.0,49.2,4,6.1,0.5,3353.02,8.4
STU0096,18,5.4,83.0,69.5,81.2,62.2,1,7.1,6.4,1309.24,18.3
STU0097,23,4.1,74.1,71.0,52.7,21.9,5,4.6,6.6,1830.47,21.1
STU0098,21,3.9,100.0,70.8,79.4,79.6,0,8.7,4.4,2436.9,12.0
STU0099,18,5.3,89.4,95.3,80.7,57.4,2,6.6,7.5,687.63,6.8
STU0100,16,7.5,83.3,47.8,83.1,61.5,6,6.2,5.6,1010.79,6.6
STU0101,18,9.0,76.9,71.1,98.5,71.5,5,7.2,1.1,882.89,13.3
STU0102,20,5.0,91.5,47.7,59.1,36.5,3,8.2,5.3,3297.59,9.6
STU0103,18,5.4,74.1,36.3,65.0,71.1,2,6.8,4.5,4862.78,10.8
STU0104,16,2.8,73.3,61.0,54.5,81.0,0,8.1,3.7,885.99,2.7
STU0105,20,9.8,98.9,78.2,66.5,73.0,2,7.0,5.7,2226.9,5.2
STU0106,22,2.4,82.3,60.0,78.6,63.3,2,7.1,6.3,2988.39,3.5
STU0107,22,8.1,74.4,77.9,77.8,70.7,5,6.0,6.3,2980.25,12.5
STU0108,24,4.7,82.1,73.6,94.3,68.7,2,8.4,6.4,9224.72,15.2
STU0109,18,4.2,90.5,69.9,75.8,82.9,3,7.9,2.7,2762.46,20.3
STU0110,22,3.1,88.2,91.0,68.0,91.3,0,7.7,2.9,1367.59,11.0
STU0111,16,10.8,91.7,63.1,50.5,63.0,5,8.4,5.5,4067.33,20.6
STU0112,19,6.0,69.5,77.7,81.9,73.9,0,5.6,7.2,7032.98,5.0
STU0113,19,5.5,91.5,45.0,65.5,58.7,3,7.1,5.7,1072.7,2.1
STU0114,20,7.5,80.2,73.5,82.2,77.1,2,8.4,0.8,3537.72,14.0
STU0115,22,4.1,82.9,68.1,61.2,77.8,2,7.0,6.1,2546.78,40.8
STU0116,22,14.5,94.1,54.3,87.2,67.2,10,7.2,1.9,1345.7,5.4
STU0117,19,5.6,89.0,78.0,74.2,78.8,0,7.2,6.4,1650.79,4.7
STU0118,22,4.4,85.5,60.9,83.9,70.1,2,7.6,3.9,7034.65,11.4
STU0119,18,8.1,62.2,98.0,74.2,69.2,6,4.5,5.6,4130.9,9.2
STU0120,21,5.0,81.5,35.5,53.2,55.0,1,7.2,9.2,3295.79,14.4
STU0121,17,2.1,74.2,75.7,62.2,72.9,2,7.5,4.3,947.96,19.4
STU0122,24,4.8,89.1,72.6,47.5,60.2,6,7.5,3.5,3875.06,18.0
STU0123,20,6.0,91.9,67.8,71.0,84.8,2,9.1,4.1,5164.89,25.7
STU0124,21,3.5,79.0,64.1,44.6,55.7,4,6.2,2.0,1028.88,2.0
STU0125,19,3.7,75.3,73.0,72.7,74.6,0,9.1,3.0,2535.59,4.9
STU0126,22,4.3,97.6,87.9,15.0,65.6,0,6.5,7.1,4814.27,40.7
STU0127,24,8.2,76.0,46.9,81.0,74.5,6,5.2,1.1,4410.29,3.5
STU0128,22,4.4,70.1,59.9,50.3,69.0,1,9.0,3.7,3789.64,7.1
STU0129,16,8.6,73.7,56.2,52.7,56.1,1,8.4,5.5,2573.19,35.7
STU0130,16,4.1,76.5,55.5,89.9,88.6,1,7.2,4.2,5063.06,27.4
STU0131,24,6.2,73.4,77.1,73.1,54.9,0,6.2,7.7,2776.28,6.9
STU0132,24,4.5,90.5,80.8,81.5,80.9,4,6.7,4.7,3580.23,25.9
STU0133,19,7.2,60.0,88.0,51.9,41.1,4,7.3,4.3,3124.98,9.0
