Car_ID,Brand,Model_Year,Mileage_Km,Engine_CC,Horsepower,Fuel_Efficiency_Kmpl,Owner_Count,Service_Count,Accident_Count,Car_Age,Commute_Distance_Km,Condition_Score,Selling_Price_Lakhs,Engine_Power_Copy,Random_Feature,Constant_Feature
CAR00001,BMW,2018,47045,2200,127,12.8,2,10,1,8,22.95,9.2,31.96,127,80.04,1
CAR00002,Kia,2015,97232,2000,113,13.29,2,6,2,11,7.28,6.0,12.54,113,16.64,1
CAR00003,Honda,2024,56921,2200,169,19.25,3,8,2,2,42.5,5.8,26.49,169,26.02,1
CAR00004,Audi,2022,113963,1200,69,20.7,2,3,0,4,16.19,6.0,20.82,69,65.19,1
CAR00005,Ford,2019,48006,3000,229,14.4,1,12,1,7,29.88,7.8,35.61,229,13.06,1
CAR00006,Honda,2024,73695,1000,62,19.04,1,5,0,2,10.52,6.4,22.59,62,20.45,1
CAR00007,Mercedes,2016,44633,1000,81,18.66,3,9,0,10,14.59,7.2,24.59,81,16.81,1
CAR00008,Ford,2018,170665,1500,119,16.41,1,6,2,8,21.06,8.4,20.06,119,42.97,1
CAR00009,Audi,2021,38091,1500,126,17.15,1,4,0,5,29.94,7.5,23.6,126,24.45,1
CAR00010,Tata,2014,74724,1000,82,19.05,2,5,0,12,22.42,7.0,7.83,82,33.03,1
CAR00011,BMW,2018,86452,2200,183,12.97,2,7,1,8,19.28,7.3,19.67,183,73.12,1
CAR00012,Mercedes,2022,78304,1600,129,15.79,2,4,1,4,20.23,9.6,23.84,129,45.9,1
CAR00013,Toyota,2022,59800,1200,91,14.35,1,7,1,4,5.24,9.2,21.97,91,54.39,1
CAR00014,Honda,2019,61312,1800,108,17.01,1,9,0,7,29.66,4.3,18.1,108,57.09,1
CAR00015,Kia,2016,66294,2000,126,16.44,4,3,1,10,10.18,6.9,16.48,126,71.24,1
CAR00016,Mercedes,2015,60839,3000,184,16.99,1,7,0,11,23.04,7.5,26.49,184,40.35,1
CAR00017,Mercedes,2019,100297,1600,117,18.18,1,7,0,7,33.18,10.0,26.11,117,48.42,1
CAR00018,Maruti,2019,175761,1200,84,17.46,2,5,0,7,23.88,7.3,18.38,84,45.38,1
CAR00019,Maruti,2014,50578,1800,146,16.46,3,6,0,12,21.94,7.0,13.31,146,29.89,1
CAR00020,Hyundai,2017,35092,1500,125,18.69,2,11,0,9,23.53,7.2,19.33,125,46.8,1
CAR00021,Tata,2016,62468,1200,81,19.03,3,9,0,10,35.33,7.3,28.9,81,56.08,1
CAR00022,Maruti,2013,207526,1000,70,20.3,1,4,0,13,20.15,7.8,10.22,70,67.32,1
CAR00023,Tata,2019,45274,1200,101,19.33,1,15,0,7,3.75,8.0,27.35,101,32.4,1
CAR00024,BMW,2023,135910,2000,127,15.78,1,9,0,3,8.57,7.2,24.92,127,71.73,1
CAR00025,Hyundai,2025,138290,2500,197,13.79,3,7,1,1,9.98,9.9,35.59,197,42.09,1
CAR00026,Tata,2017,50667,1500,93,16.54,2,4,0,9,8.58,7.5,17.69,93,74.6,1
CAR00027,Audi,2013,83967,3000,226,11.58,1,7,1,13,12.65,9.0,19.7,226,49.42,1
CAR00028,Toyota,2023,135256,3000,188,11.26,2,9,1,3,7.88,7.6,29.52,188,55.53,1
CAR00029,BMW,2016,54805,1200,98,22.25,1,9,0,10,23.05,7.0,17.12,98,42.35,1
CAR00030,Honda,2012,59310,2500,180,15.11,2,8,1,14,11.71,8.1,13.26,180,81.25,1
CAR00031,Toyota,2023,50030,1800,109,16.55,3,7,0,3,29.41,4.4,22.78,109,32.13,1
CAR00032,Maruti,2021,41172,1600,99,16.44,1,4,3,5,13.04,7.3,25.01,99,70.58,1
CAR00033,BMW,2017,48531,1800,126,17.71,1,8,1,9,5.66,3.7,18.56,126,27.82,1
CAR00034,Mercedes,2024,37473,1600,134,19.84,1,11,2,2,4.72,5.9,23.68,134,36.48,1
CAR00035,Toyota,2023,66005,2500,195,16.3,1,6,0,3,19.73,6.5,28.49,195,83.88,1
CAR00036,Hyundai,2020,45966,1600,111,19.27,1,7,3,6,32.79,7.5,18.65,111,62.65,1
CAR00037,BMW,2012,72211,2000,130,15.11,2,7,0,14,7.93,7.9,16.08,130,55.39,1
CAR00038,BMW,2022,32273,1200,86,18.56,1,4,0,4,41.41,5.3,21.39,86,54.03,1
CAR00039,Tata,2022,75436,1800,139,15.71,3,7,1,4,18.5,6.9,29.99,139,72.24,1
CAR00040,BMW,2021,94583,2000,157,16.5,1,10,3,5,14.68,7.0,24.48,157,57.35,1
CAR00041,Mercedes,2023,26502,1800,117,19.4,1,8,0,3,5.42,10.0,36.84,117,50.66,1
CAR00042,Mercedes,2023,76916,1200,92,19.45,1,8,1,3,29.59,7.4,20.14,92,59.24,1
CAR00043,Tata,2025,112938,2200,164,18.97,2,5,1,1,15.38,5.8,27.5,164,46.05,1
CAR00044,Audi,2025,37715,1600,134,16.85,1,5,1,1,20.81,8.6,28.74,134,42.04,1
CAR00045,Honda,2025,137971,2500,207,13.24,3,11,3,1,5.78,7.1,25.37,207,35.68,1
CAR00046,Tata,2014,78488,2200,173,16.74,2,8,0,12,11.01,8.5,15.6,173,28.95,1
CAR00047,Toyota,2023,47329,2200,169,15.95,3,8,1,3,19.84,8.8,29.73,169,59.21,1
CAR00048,Tata,2018,63389,3000,190,14.07,2,14,0,8,28.51,6.4,26.75,190,46.75,1
CAR00049,Mercedes,2015,83566,1000,80,19.49,1,10,1,11,22.17,7.0,10.98,80,17.43,1
CAR00050,Toyota,2020,67262,2000,136,15.32,3,7,0,6,8.12,7.0,25.8,136,42.08,1
