Vehicle_ID,Model,Year,Price,Mileage,Purchase_Date,Used,Fuel_Type,Transmission,City,Engine_CC,Owner_Count
VH11861,Thar,2015,431562,19.8,25-01-2018,Yes,Petrol,Manual,Hyderabad,1497,3
VH10354,Thar,2013,1683875,22.1,10-02-2023,Yes,CNG,Manual,Mumbai,1998,3
VH11334,Nexon,2017,1912033,20.3,15-04-2019,Yes,Diesel,Automatic,Coimbatore,1497,3
VH10906,Verna,2016,1851899,8.7,03-08-2023,Yes,Petrol,Manual,Mumbai,998,2
VH11290,Venue,2013,845726,11.3,09-07-2024,Yes,Electric,Manual,Hyderabad,1498,4
VH11274,Creta,2025,876515,11.8,13-05-2024,Yes,Diesel,Automatic,Delhi,2184,4
VH10939,Swift,2025,2003820,13.5,09-10-2023,No,Petrol,Manual,Chennai,1498,N/A
VH11732,Baleno,2012,721773,18.4,21-05-2022,Yes,Electric,Automatic,Hyderabad,2184,4
VH10066,Fortuner,2023,4286280,15.9,16-04-2019,No,CNG,Automatic,Bangalore,2184,1
VH11324,City,2010,4207297,25.6,03-07-2022,Yes,Petrol,Manual,Chennai,1998,1
VH10057,City,2011,3724083,8.9,12-05-2023,Yes,Diesel,Automatic,Hyderabad,1498,4
VH11293,City,2011,790999,22.2,23-09-2023,No,Diesel,Manual,Mumbai,1498,1
VH11119,Verna,2018,1634649,8.8,06-10-2019,Yes,Diesel,Manual,Chennai,2184,3
VH10585,Seltos,2016,2332816,27.5,15-02-2022,Yes,Electric,Manual,Chennai,1497,4
VH10375,Baleno,2017,425355,9.4,17-10-2025,No,Diesel,Manual,Pune,1197,4
VH10276,Swift,2021,2835394,9.6,04-02-2026,Yes,Diesel,Automatic,Bangalore,1197,1
VH10747,Fortuner,2024,4095830,20.2,11-04-2018,Yes,Electric,Automatic,Hyderabad,1998,2
VH10129,Baleno,2016,4476426,15.8,08-05-2022,No,Electric,Automatic,Hyderabad,1497,2
VH11647,Nexon,2010,3966569,27.6,26-08-2025,Yes,Petrol,Automatic,Hyderabad,1199,2
VH11853,City,2024,3701447,21.0,20-07-2019,No,Petrol,Manual,Coimbatore,2184,2
VH10675,Swift,2022,2314017,23.5,13-03-2018,Yes,CNG,Automatic,Coimbatore,2184,1
VH11665,Verna,2020,2645251,12.2,18-06-2020,Yes,Diesel,Automatic,Hyderabad,1197,1
VH11982,City,2014,3591987,19.9,07-07-2026,No,Petrol,Automatic,Chennai,1197,2
VH11084,Swift,2024,3828880,13.0,23-10-2023,Yes,Petrol,Manual,Coimbatore,1998,2
VH11923,City,2024,3962097,27.3,10-02-2018,Yes,Diesel,Manual,Bangalore,998,4
VH10100,Verna,2017,4218949,26.4,06-03-2026,Yes,Petrol,Manual,Coimbatore,1199,2
VH11180,Thar,2024,939872,11.3,23-02-2021,Yes,CNG,Manual,Pune,1497,2
VH10965,Swift,2013,3427640,17.2,26-08-2025,Yes,CNG,Manual,Bangalore,998,2
VH10793,Creta,2013,3227053,22.7,30-01-2023,Yes,CNG,Automatic,Mumbai,1998,3
VH10030,Nexon,2020,4002418,11.4,28-09-2018,Yes,Diesel,Manual,Bangalore,1497,3
VH10629,Venue,2019,3122236,17.1,24-02-2022,No,Electric,Automatic,Delhi,998,3
VH10945,Creta,2021,469934,26.6,29-06-2020,Yes,Petrol,Manual,Hyderabad,1197,3
VH10573,Nexon,2021,3447915,23.3,24-04-2025,Yes,CNG,Automatic,Pune,1998,3
VH10908,City,2016,1013340,9.6,23-10-2018,Yes,Electric,Manual,Chennai,1998,4
VH11081,Creta,2021,3674659,13.9,08-02-2022,Yes,Diesel,Manual,Mumbai,1197,3
